CVE-2025-61590,Cursor is vulnerable to RCE via .code-workspace files using Prompt Injection,"The following products are affected byCVE-2025-61590vulnerability.
                                            Even ifcvefeed.iois aware of the exact versions of the
                                            products
                                            that
                                            are
                                            affected, the information is not represented in the table below.",7.5,HIGH,CVSS 3.1,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,1.6,5.9,"Oct. 3, 2025, 5:15 p.m.","Oct. 6, 2025, 2:56 p.m.",Yes !,[email protected],[email protected],Misconfiguration,Anysphere,cursor,Network,High,Low,None,Unchanged,High,High,High,https://cvefeed.io/vuln/detail/CVE-2025-61590
CVE-2025-61591,Cursor CLI's Cursor Agent MCP OAuth2 Communication is Vulnerable to Remote Code Execution,"Cursor is a code editor built for programming with AI. In versions 1.7 and below, when MCP uses OAuth authentication with an untrusted MCP server, an attacker can impersonate a malicious MCP server and return crafted, maliciously injected commands during the interaction process, leading to command injection and potential remote code execution. If chained with an untrusted MCP service via OAuth, this command injection vulnerability could allow arbitrary code execution on the host by the agent. This can then be used to directly compromise the system by executing malicious commands with full user privileges. This issue does not currently have a fixed release version, but there is a patch, 2025.09.17-25b418f.",8.8,HIGH,CVSS 3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,"Oct. 3, 2025, 5:15 p.m.","Oct. 6, 2025, 2:56 p.m.",Yes !,[email protected],[email protected],Authentication,Anysphere,cursor,Network,Low,None,Required,Unchanged,High,High,High,https://cvefeed.io/vuln/detail/CVE-2025-61591
CVE-2025-33034,Qsync Central,"A path traversal vulnerability has been reported to affect Qsync Central. If a remote attacker gains a user account, they can then exploit the vulnerability to read the contents of unexpected files or system data.

We have already fixed the vulnerability in the following version:
Qsync Central 5.0.0.1 ( 2025/07/09 ) and later",6.5,MEDIUM,CVSS 3.1,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,,,"Oct. 3, 2025, 6:15 p.m.","Oct. 7, 2025, 3:04 p.m.",Yes !,[email protected],[email protected],Path Traversal,Qnap,qsync_central,Network,Low,Low,None,Unchanged,High,None,None,https://cvefeed.io/vuln/detail/CVE-2025-33034
CVE-2025-33039,Qsync Central,"An allocation of resources without limits or throttling vulnerability has been reported to affect Qsync Central. If a remote attacker gains a user account, they can then exploit the vulnerability to prevent other systems, applications, or processes from accessing the same type of resource.

We have already fixed the vulnerability in the following version:
Qsync Central 5.0.0.1 ( 2025/07/09 ) and later",7.1,HIGH,CVSS 4.0,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,,,"Oct. 3, 2025, 6:15 p.m.","Oct. 7, 2025, 3:01 p.m.",Yes !,[email protected],[email protected],Denial of Service,Qnap,qsync_central,Network,Low,Low,None,Unchanged,None,None,High,https://cvefeed.io/vuln/detail/CVE-2025-33039
CVE-2025-33040,Qsync Central,"An allocation of resources without limits or throttling vulnerability has been reported to affect Qsync Central. If a remote attacker gains a user account, they can then exploit the vulnerability to prevent other systems, applications, or processes from accessing the same type of resource.

We have already fixed the vulnerability in the following version:
Qsync Central 5.0.0.1 ( 2025/07/09 ) and later",7.1,HIGH,CVSS 4.0,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,,,"Oct. 3, 2025, 6:15 p.m.","Oct. 7, 2025, 3 p.m.",Yes !,[email protected],[email protected],Denial of Service,Qnap,qsync_central,Network,Low,Low,None,Unchanged,None,None,High,https://cvefeed.io/vuln/detail/CVE-2025-33040
CVE-2025-44006,Qsync Central,"An allocation of resources without limits or throttling vulnerability has been reported to affect Qsync Central. If a remote attacker gains a user account, they can then exploit the vulnerability to prevent other systems, applications, or processes from accessing the same type of resource.

We have already fixed the vulnerability in the following version:
Qsync Central 5.0.0.1 ( 2025/07/09 ) and later",7.1,HIGH,CVSS 4.0,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,,,"Oct. 3, 2025, 6:15 p.m.","Oct. 8, 2025, 3:19 p.m.",Yes !,[email protected],[email protected],Denial of Service,Qnap,qsync_central,Network,Low,Low,None,Unchanged,None,None,High,https://cvefeed.io/vuln/detail/CVE-2025-44006
CVE-2025-44007,Qsync Central,"An allocation of resources without limits or throttling vulnerability has been reported to affect Qsync Central. If a remote attacker gains a user account, they can then exploit the vulnerability to prevent other systems, applications, or processes from accessing the same type of resource.

We have already fixed the vulnerability in the following version:
Qsync Central 5.0.0.1 ( 2025/07/09 ) and later",7.1,HIGH,CVSS 4.0,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,,,"Oct. 3, 2025, 6:15 p.m.","Oct. 8, 2025, 3:18 p.m.",Yes !,[email protected],[email protected],Denial of Service,Qnap,qsync_central,Network,Low,Low,None,Unchanged,None,None,High,https://cvefeed.io/vuln/detail/CVE-2025-44007
CVE-2025-46817,Lua library commands may lead to integer overflow and potential RCE,"The following products are affected byCVE-2025-46817vulnerability.
                                            Even ifcvefeed.iois aware of the exact versions of the
                                            products
                                            that
                                            are
                                            affected, the information is not represented in the table below.",9.8,CRITICAL,CVSS 3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,"Oct. 3, 2025, 6:15 p.m.","Oct. 8, 2025, 3:17 p.m.",Yes !,[email protected],[email protected],Injection,Redis,redis,Network,Low,None,None,Unchanged,High,High,High,https://cvefeed.io/vuln/detail/CVE-2025-46817
CVE-2025-52653,Cross Site Scripting vulnerability in the web application,"HCL MyXalytics product is affected by Cross Site Scripting vulnerability in the web application. This can allow the execution of unauthorized scripts, potentially resulting in unauthorized actions or access.",7.6,HIGH,CVSS 3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,2.3,2.7,"Oct. 3, 2025, 6:15 p.m.","Oct. 8, 2025, 4:50 p.m.",Yes !,[email protected],[email protected],Cross-Site Scripting,Hcltech,dryice_myxalytics,Network,Low,Low,Required,Unchanged,High,Low,High,https://cvefeed.io/vuln/detail/CVE-2025-52653
CVE-2025-61592,Cursor CLI: Arbitrary Code Execution Possible through Permissive CLI Config,"The following products are affected byCVE-2025-61592vulnerability.
                                            Even ifcvefeed.iois aware of the exact versions of the
                                            products
                                            that
                                            are
                                            affected, the information is not represented in the table below.",8.8,HIGH,CVSS 3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,"Oct. 3, 2025, 6:15 p.m.","Oct. 9, 2025, 5:23 p.m.",Yes !,[email protected],[email protected],Misconfiguration,Anysphere,cursor,Network,Low,None,Required,Unchanged,High,High,High,https://cvefeed.io/vuln/detail/CVE-2025-61592
