id,title,published,last_modified,cvss_score,severity,cvss_version,url,source_identifier,status
CVE-2025-8422,CVE-2025-8422 - Propovoice <= 1.7.6.7 - Unauthenticated Arbitrary File Read,2025-09-11T08:15:33.883000Z,2025-09-11T17:14:10.147000Z,7.5,HIGH,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-8422,security@wordfence.com,Awaiting Analysis
CVE-2025-8417,"CVE-2025-8417 - Catalog Importer, Scraper & Crawler <= 5.1.4 - Unauthenticated PHP Code Injection",2025-09-11T08:15:33.680000Z,2025-09-11T17:14:10.147000Z,8.1,HIGH,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-8417,security@wordfence.com,Awaiting Analysis
CVE-2025-8398,CVE-2025-8398 - azurecurve BBCode <= 2.0.4 - Authenticated (Contributor+) Stored Cross-Site Scripting via url Shortcode,2025-09-11T08:15:33.493000Z,2025-09-11T17:14:10.147000Z,6.4,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-8398,security@wordfence.com,Awaiting Analysis
CVE-2025-8392,CVE-2025-8392 - Mitfahrgelegenheit <= 1.1.5 - Authenticated (Contributor+) Stored Cross-Site Scripting via date Parameter,2025-09-11T08:15:33.290000Z,2025-09-11T17:14:10.147000Z,6.4,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-8392,security@wordfence.com,Awaiting Analysis
CVE-2025-8318,CVE-2025-8318 - Jobify <= 1.4.4 - Authenticated (Contributor+) Stored Cross-Site Scripting via keyword Parameter,2025-09-11T08:15:33.097000Z,2025-09-11T17:14:10.147000Z,6.4,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-8318,security@wordfence.com,Awaiting Analysis
CVE-2025-8316,CVE-2025-8316 - Certifica WP <= 3.1 - Authenticated (Contributor+) Stored Cross-Site Scripting via evento Parameter,2025-09-11T08:15:32.897000Z,2025-09-11T17:14:10.147000Z,6.4,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-8316,security@wordfence.com,Awaiting Analysis
CVE-2025-8215,CVE-2025-8215 - Responsive Addons for Elementor <= 1.7.4 - Authenticated (Contributor+) Stored Cross-Site Scripting via Multiple Widgets,2025-09-11T08:15:32.700000Z,2025-09-11T17:14:10.147000Z,6.4,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-8215,security@wordfence.com,Awaiting Analysis
CVE-2025-5801,CVE-2025-5801 - Digital Events Calendar <= 1.0.8 - Authenticated (Contributor+) Stored Cross-Site Scripting via column Parameter,2025-09-11T08:15:32.487000Z,2025-09-11T17:14:10.147000Z,6.4,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-5801,security@wordfence.com,Awaiting Analysis
CVE-2025-0763,CVE-2025-0763 - Ultimate Classified Listings <= 1.6 - Missing Authorization to Authenticated (Subscriber+) Plugin Settings Update,2025-09-11T08:15:32.190000Z,2025-09-11T17:14:10.147000Z,4.3,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-0763,security@wordfence.com,Awaiting Analysis
CVE-2025-8479,CVE-2025-8479 - Zoho Flow <= 2.14.1 - Cross-Site Request Forgery,2025-09-11T07:15:31.200000Z,2025-09-11T17:14:10.147000Z,4.3,MEDIUM,CVSS 3.1,https://cvefeed.io/vuln/detail/CVE-2025-8479,security@wordfence.com,Awaiting Analysis
